,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
1,2500,2500, 60 months,15.27,59.83,C,C4,0,RENT,30000.0,Source Verified,Dec-11,Charged Off,car,1.0,Apr-99,5,3,0,9.4,4,13%-17%,2-10,0-20,2-20,31k-58k,14-145,0-5k
8,5600,5600, 60 months,21.28,152.39,F,F2,4,OWN,40000.0,Source Verified,Dec-11,Charged Off,small_business,5.55,Apr-04,2,11,0,32.6,13,21%-24%,10-19,20-40,2-20,31k-58k,145-274,5k-10k
9,5375,5375, 60 months,12.69,121.45,B,B5,0,RENT,15000.0,Verified,Dec-11,Charged Off,other,18.08,Sep-04,0,2,0,36.5,3,9%-13%,2-10,20-40,2-20,3k-31k,14-145,0-5k
12,9000,9000, 36 months,13.49,305.38,C,C1,0,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,10.08,Apr-04,1,4,0,91.7,9,13%-17%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
14,10000,10000, 36 months,10.65,325.74,B,B2,3,RENT,100000.0,Source Verified,Dec-11,Charged Off,other,7.06,May-91,2,14,0,55.5,29,9%-13%,10-19,40-60,20-37,112k-140k,274-403,5k-10k
21,21000,21000, 36 months,12.42,701.73,B,B4,10,RENT,105000.0,Verified,Dec-11,Charged Off,debt_consolidation,13.22,Feb-83,0,7,0,90.3,38,9%-13%,2-10,80-100,37-55,112k-140k,660-789,20k-25k
24,6000,6000, 36 months,11.71,198.46,B,B3,1,RENT,76000.0,Not Verified,Dec-11,Charged Off,major_purchase,2.4,Jun-01,1,7,0,29.7,7,9%-13%,2-10,20-40,2-20,85k-112k,145-274,5k-10k
26,15000,15000, 36 months,14.27,514.64,C,C2,9,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,15.22,Oct-03,1,7,0,57.6,11,13%-17%,2-10,40-60,2-20,58k-85k,403-531,10k-15k
27,5000,5000, 60 months,16.77,123.65,D,D2,2,RENT,50004.0,Not Verified,Dec-11,Charged Off,other,13.97,Oct-03,0,14,0,59.5,22,13%-17%,10-19,40-60,20-37,58k-85k,14-145,0-5k
46,5000,5000, 36 months,8.9,158.77,A,A5,10,MORTGAGE,100000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,16.33,Jun-95,0,17,0,62.1,35,5%-9%,10-19,60-80,20-37,112k-140k,145-274,0-5k
50,15000,15000, 36 months,9.91,483.38,B,B1,8,MORTGAGE,80000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,9.12,Apr-92,2,9,0,63.7,28,9%-13%,2-10,60-80,20-37,85k-112k,403-531,10k-15k
53,12000,12000, 36 months,15.96,421.65,C,C5,4,RENT,50000.0,Not Verified,Dec-11,Charged Off,car,20.88,Oct-06,2,11,0,90.8,11,13%-17%,10-19,80-100,2-20,58k-85k,403-531,10k-15k
55,21000,21000, 60 months,19.91,555.33,E,E4,7,RENT,50000.0,Verified,Dec-11,Charged Off,debt_consolidation,21.58,Sep-98,1,7,0,97.6,14,17%-21%,2-10,80-100,2-20,58k-85k,531-660,20k-25k
64,10000,10000, 60 months,10.65,215.69,B,B2,10,RENT,45996.0,Verified,Dec-11,Charged Off,debt_consolidation,21.73,May-97,1,7,0,30.1,15,9%-13%,2-10,20-40,2-20,31k-58k,145-274,5k-10k
66,12500,8925, 60 months,17.27,223.11,D,D3,5,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,13.16,Apr-95,0,7,1,70.8,28,17%-21%,2-10,60-80,20-37,31k-58k,145-274,10k-15k
68,8200,8200, 60 months,21.28,223.14,F,F2,4,RENT,75000.0,Source Verified,Dec-11,Charged Off,small_business,12.48,Jan-00,3,6,0,73.9,11,21%-24%,2-10,60-80,2-20,85k-112k,145-274,5k-10k
71,6400,6400, 36 months,16.77,227.45,D,D2,5,RENT,75000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.22,Dec-94,0,9,0,67.5,27,13%-17%,2-10,60-80,20-37,85k-112k,145-274,5k-10k
97,17500,17500, 60 months,17.27,437.47,D,D3,7,MORTGAGE,45000.0,Not Verified,Dec-11,Charged Off,credit_card,21.31,Sep-02,2,13,0,86.1,26,17%-21%,10-19,80-100,20-37,31k-58k,403-531,15k-20k
100,6200,6200, 36 months,9.91,199.8,B,B1,2,RENT,25000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,20.64,May-98,2,7,0,47.7,12,9%-13%,2-10,40-60,2-20,3k-31k,145-274,5k-10k
105,18825,18825, 60 months,16.77,465.53,D,D2,10,RENT,38000.0,Verified,Dec-11,Charged Off,debt_consolidation,23.18,Dec-04,0,6,0,79.7,7,13%-17%,2-10,60-80,2-20,31k-58k,403-531,15k-20k
